ULTRAPNG PIPELINE V6.0 — RUN REPORT
============================================================
Date       : 2026-03-27 08:15 IST
Batch      : 5 -> 805
Generated  : 800
Deleted    : 0
Approved   : 800
Transparent: 800
Uploaded   : 800
Posts      : 800
Duration   : 11.3h
Status     : SUCCESS
============================================================

FULL LOG
============================================================
[20:57:49] Manual drop: no PNG files found
[20:57:49] Loading prompts...
[20:57:50] Loaded 7972 prompts
[20:57:50] Batch: 800 prompts

[20:57:50] Building skip-set from REPO2 JSON files...
[20:57:50]   Skip-set (REPO2): 10 already-done filenames
[20:57:51]   Skip-set (ultradata): 10 already-generated filenames
[20:57:51]   Combined skip-set: 10 filenames total

[20:57:51] ========================================================
[20:57:51] PHASE 1: FLUX.2-Klein-4B — Image Generation
[20:57:51]   Loading from HuggingFace: black-forest-labs/FLUX.2-klein-4B
[20:57:51] ========================================================
[20:58:19]   Loading: black-forest-labs/FLUX.2-klein-4B
[20:58:19]   (First run: downloads ~8GB — ~5 min)
[20:59:22] FLUX.2 loaded | Batch: 800 | Skip: 10
[22:01:53]   [84/800] OK img_002612.png | animals | ETA 533min
[22:02:36]   [85/800] OK img_004368.png | animals | ETA 532min
[22:03:20]   [86/800] OK img_001638.png | animals | ETA 531min
[22:04:03]   [87/800] OK img_001959.png | animals | ETA 530min
[22:04:47]   [88/800] OK img_004881.png | animals | ETA 529min
[22:05:30]   [89/800] OK img_003027.png | animals | ETA 528min
[22:06:14]   [90/800] OK img_004538.png | animals | ETA 528min
[22:06:57]   [91/800] OK img_004757.png | animals | ETA 527min
[22:07:41]   [92/800] OK img_001719.png | animals | ETA 526min
[22:08:24]   [93/800] OK img_004941.png | animals | ETA 525min
[22:09:08]   [94/800] OK img_002681.png | animals | ETA 524min
[22:09:51]   [95/800] OK img_000566.png | animals | ETA 523min
[22:10:35]   [96/800] OK img_001541.png | animals | ETA 522min
[22:11:18]   [97/800] OK img_002317.png | animals | ETA 521min
[22:12:02]   [98/800] OK img_000911.png | animals | ETA 521min
[22:12:45]   [99/800] OK img_003578.png | animals | ETA 520min
[22:13:29]   [100/800] OK img_002299.png | animals | ETA 519min
[22:14:12]   [101/800] OK img_000363.png | animals | ETA 518min
[22:14:55]   [102/800] OK img_003493.png | animals | ETA 517min
[22:15:39]   [103/800] OK img_003573.png | animals | ETA 516min
[22:16:23]   [104/800] OK img_002438.png | animals | ETA 515min
[22:17:06]   [105/800] OK img_003060.png | animals | ETA 515min
[22:17:50]   [106/800] OK img_003776.png | animals | ETA 514min
[22:18:33]   [107/800] OK img_003165.png | animals | ETA 513min
[22:19:17]   [108/800] OK img_003379.png | animals | ETA 512min
[22:20:00]   [109/800] OK img_000400.png | animals | ETA 511min
[22:20:43]   [110/800] OK img_001726.png | animals | ETA 510min
[22:21:27]   [111/800] OK img_004487.png | animals | ETA 510min
[22:22:10]   [112/800] OK img_003393.png | animals | ETA 509min
[22:22:54]   [113/800] OK img_001299.png | animals | ETA 508min
[22:23:38]   [114/800] OK img_004494.png | animals | ETA 507min
[22:24:21]   [115/800] OK img_001047.png | animals | ETA 506min
[22:25:05]   [116/800] OK img_003922.png | animals | ETA 505min
[22:25:48]   [117/800] OK img_004319.png | animals | ETA 505min
[22:26:32]   [118/800] OK img_000452.png | animals | ETA 504min
[22:27:15]   [119/800] OK img_002626.png | animals | ETA 503min
[22:27:58]   [120/800] OK img_003169.png | animals | ETA 502min
[22:28:42]   [121/800] OK img_001538.png | animals | ETA 501min
[22:29:25]   [122/800] OK img_000572.png | animals | ETA 500min
[22:30:08]   [123/800] OK img_000880.png | animals | ETA 500min
[22:30:52]   [124/800] OK img_003607.png | animals | ETA 499min
[22:31:36]   [125/800] OK img_001314.png | animals | ETA 498min
[22:32:19]   [126/800] OK img_000568.png | animals | ETA 497min
[22:33:03]   [127/800] OK img_000725.png | animals | ETA 496min
[22:33:46]   [128/800] OK img_000453.png | animals | ETA 496min
[22:34:30]   [129/800] OK img_003267.png | animals | ETA 495min
[22:35:13]   [130/800] OK img_004142.png | animals | ETA 494min
[22:35:56]   [131/800] OK img_000883.png | animals | ETA 493min
[22:36:40]   [132/800] OK img_001575.png | animals | ETA 492min
[22:37:23]   [133/800] OK img_000968.png | animals | ETA 492min
[22:38:07]   [134/800] OK img_000564.png | animals | ETA 491min
[22:38:50]   [135/800] OK img_000912.png | animals | ETA 490min
[22:39:34]   [136/800] OK img_000473.png | animals | ETA 489min
[22:40:17]   [137/800] OK img_003577.png | animals | ETA 488min
[22:41:00]   [138/800] OK img_003216.png | animals | ETA 488min
[22:41:44]   [139/800] OK img_004028.png | animals | ETA 487min
[22:42:27]   [140/800] OK img_003072.png | animals | ETA 486min
[22:43:11]   [141/800] OK img_002492.png | animals | ETA 485min
[22:43:54]   [142/800] OK img_004330.png | animals | ETA 484min
[22:44:38]   [143/800] OK img_004275.png | animals | ETA 484min
[22:45:22]   [144/800] OK img_000186.png | animals | ETA 483min
[22:46:05]   [145/800] OK img_000149.png | animals | ETA 482min
[22:46:49]   [146/800] OK img_003712.png | animals | ETA 481min
[22:47:32]   [147/800] OK img_001073.png | animals | ETA 481min
[22:48:15]   [148/800] OK img_000602.png | animals | ETA 480min
[22:48:59]   [149/800] OK img_004754.png | animals | ETA 479min
[22:49:42]   [150/800] OK img_000811.png | animals | ETA 478min
[22:50:26]   [151/800] OK img_003970.png | animals | ETA 477min
[22:51:09]   [152/800] OK img_003563.png | animals | ETA 477min
[22:51:53]   [153/800] OK img_003864.png | animals | ETA 476min
[22:52:36]   [154/800] OK img_003487.png | animals | ETA 475min
[22:53:20]   [155/800] OK img_000034.png | animals | ETA 474min
[22:54:03]   [156/800] OK img_000042.png | animals | ETA 473min
[22:54:47]   [157/800] OK img_001702.png | animals | ETA 473min
[22:55:30]   [158/800] OK img_000698.png | animals | ETA 472min
[22:56:13]   [159/800] OK img_004618.png | animals | ETA 471min
[22:56:57]   [160/800] OK img_000398.png | animals | ETA 470min
[22:57:40]   [161/800] OK img_002188.png | animals | ETA 470min
[22:58:24]   [162/800] OK img_003503.png | animals | ETA 469min
[22:59:07]   [163/800] OK img_003507.png | animals | ETA 468min
[22:59:51]   [164/800] OK img_003868.png | animals | ETA 467min
[23:00:34]   [165/800] OK img_004515.png | animals | ETA 466min
[23:01:17]   [166/800] OK img_001867.png | animals | ETA 466min
[23:02:01]   [167/800] OK img_004925.png | animals | ETA 465min
[23:02:44]   [168/800] OK img_003538.png | animals | ETA 464min
[23:03:28]   [169/800] OK img_003222.png | animals | ETA 463min
[23:04:11]   [170/800] OK img_001905.png | animals | ETA 463min
[23:04:55]   [171/800] OK img_002192.png | animals | ETA 462min
[23:05:38]   [172/800] OK img_004455.png | animals | ETA 461min
[23:06:21]   [173/800] OK img_000547.png | animals | ETA 460min
[23:07:04]   [174/800] OK img_002559.png | animals | ETA 459min
[23:07:47]   [175/800] OK img_003323.png | animals | ETA 459min
[23:08:31]   [176/800] OK img_001962.png | animals | ETA 458min
[23:09:14]   [177/800] OK img_001848.png | animals | ETA 457min
[23:09:58]   [178/800] OK img_004948.png | animals | ETA 456min
[23:10:41]   [179/800] OK img_003925.png | animals | ETA 456min
[23:11:25]   [180/800] OK img_002912.png | animals | ETA 455min
[23:12:08]   [181/800] OK img_004425.png | animals | ETA 454min
[23:12:52]   [182/800] OK img_003526.png | animals | ETA 453min
[23:13:35]   [183/800] OK img_001486.png | animals | ETA 453min
[23:14:18]   [184/800] OK img_000009.png | ayurvedic_herbal | ETA 452min
[23:15:01]   [185/800] OK img_000042.png | ayurvedic_herbal | ETA 451min
[23:15:45]   [186/800] OK img_000064.png | ayurvedic_herbal | ETA 450min
[23:16:29]   [187/800] OK img_000098.png | ayurvedic_herbal | ETA 449min
[23:17:12]   [188/800] OK img_000133.png | ayurvedic_herbal | ETA 449min
[23:17:56]   [189/800] OK img_000196.png | ayurvedic_herbal | ETA 448min
[23:18:39]   [190/800] OK img_000267.png | ayurvedic_herbal | ETA 447min
[23:19:23]   [191/800] OK img_000346.png | ayurvedic_herbal | ETA 446min
[23:20:07]   [192/800] OK img_000402.png | ayurvedic_herbal | ETA 446min
[23:20:50]   [193/800] OK img_000458.png | ayurvedic_herbal | ETA 445min
[23:21:34]   [194/800] OK img_000530.png | ayurvedic_herbal | ETA 444min
[23:22:18]   [195/800] OK img_000595.png | ayurvedic_herbal | ETA 443min
[23:23:01]   [196/800] OK img_000601.png | ayurvedic_herbal | ETA 443min
[23:23:45]   [197/800] OK img_000619.png | ayurvedic_herbal | ETA 442min
[23:24:28]   [198/800] OK img_000634.png | ayurvedic_herbal | ETA 441min
[23:25:12]   [199/800] OK img_000703.png | ayurvedic_herbal | ETA 440min
[23:25:55]   [200/800] OK img_000835.png | ayurvedic_herbal | ETA 440min
[23:26:39]   [201/800] OK img_000891.png | ayurvedic_herbal | ETA 439min
[23:27:22]   [202/800] OK img_000896.png | ayurvedic_herbal | ETA 438min
[23:28:06]   [203/800] OK img_000927.png | ayurvedic_herbal | ETA 437min
[23:28:49]   [204/800] OK img_000939.png | ayurvedic_herbal | ETA 437min
[23:29:33]   [205/800] OK img_001007.png | ayurvedic_herbal | ETA 436min
[23:30:16]   [206/800] OK img_001022.png | ayurvedic_herbal | ETA 435min
[23:31:00]   [207/800] OK img_001047.png | ayurvedic_herbal | ETA 434min
[23:31:43]   [208/800] OK img_001142.png | ayurvedic_herbal | ETA 434min
[23:32:27]   [209/800] OK img_001158.png | ayurvedic_herbal | ETA 433min
[23:33:10]   [210/800] OK img_001160.png | ayurvedic_herbal | ETA 432min
[23:33:54]   [211/800] OK img_001171.png | ayurvedic_herbal | ETA 431min
[23:34:37]   [212/800] OK img_001238.png | ayurvedic_herbal | ETA 431min
[23:35:21]   [213/800] OK img_001252.png | ayurvedic_herbal | ETA 430min
[23:36:04]   [214/800] OK img_001359.png | ayurvedic_herbal | ETA 429min
